        1.38275         1.48647         1.41066         1.43415         1.51966         1.36817         1.50854         1.57552          1.6289 
        1.65138         1.62981         1.63893          1.6559         1.64028         1.75974         1.86392         1.82794         1.78625 
        1.75779         1.78092         1.67121         1.73136         1.80586         1.86072         1.88562         1.98402         1.98809 
        2.05383         2.16729         2.20019         2.29229          2.3362         2.24798         2.21617         2.20094         2.20022 
        2.26282         2.27665          2.2959         2.31802         2.38923          2.3561         2.34228         2.37078         2.42435 
        2.48746         2.55701         2.58391          2.5663         2.47808         2.46811          2.4314          2.4207         2.47652 
        2.48978         2.48872         2.53014         2.55253         2.55047         2.58841         2.69716         2.72578         2.75605 
        2.83694         2.77606         2.74849         2.69098         2.71471         2.72282         2.70754         2.74055         2.76861 
        2.78425         2.76167          2.7553         2.80162         2.73784         2.74943         2.81145         2.83089         2.86468 
        2.78504         3.53317         3.53317         3.53317         3.53317         3.53317         3.53317         3.53317         3.53317
